word|distractors
467|antanaclasis|['katabasis', 'thanatopsis', 'thanatosis', 'aphantasia', 'anagnorisis']
468|antimetabole|['akimbo', 'ineffable', 'arietiform', 'intestate', 'ultimate']
466|chiasmus|['accismus', 'conatus', 'miasma', 'chiral', 'claque']
14|citlalimpopoca|['kalopsia', 'palimpsest', 'cingulomania', 'cacotopia', 'callipygian']
878|polyptoton|['poltroon', 'polychotomy', 'pluton', 'polytely', 'panopticon']
888|sphagnum|['aptronym', 'spanghew', 'sophism', 'pangram', 'seraglio']
6|trochoid|['epitrochoid', 'brood', 'roscid', 'tetchy', 'clotho']
21|abaddon|['alazon', 'alastor', 'lagoon', 'albion', 'bagman']
22|abatures|['arcturus', 'ananke', 'alastor', 'aleatory', 'claque']
23|absquatulate|['stridulate', 'obnubilate', 'ululate', 'aestivate', 'aesthete']
24|abulia|['acedia', 'uvula', 'tulpa', 'anomie', 'mudita']
25|acatalepsy|['cataplexy', 'abatures', 'analemma', 'ataraxy', 'nympholepsy']
26|accismus|['chiasmus', 'arcturus', 'mumpsimus', 'muckibus', 'ascian']
27|accoutrement|['denouement', 'aurulent', 'covenant', 'contumely', 'feculent']
28|acedia|['abulia', 'ascian', 'anomie', 'lachesis', 'akrasia']
29|aciniform|['arietiform', 'vermiform', 'albion', 'laconic', 'akimbo']
30|acyrologia|['cyclogon', 'cacotopia', 'lethologica', 'horology', 'teleology']
31|addlepated|['aureate', 'tenanted', 'decimate', 'aestivate', 'aleatory']
32|adonize|['anomie', 'apogee', 'anodyne', 'aniline', 'cadence']
33|aesopian language|['aestivate', 'koalang', 'seigniorage', 'aphantasia', 'absquatulate']
34|aesthete|['aestivate', 'yestreen', 'gestalt', 'vestige', 'aestival']
35|aestival|['aestivate', 'pessimal', 'aesthete', 'ascian', 'vestige']
36|aestivate|['aestival', 'aesthete', 'rusticate', 'titivate', 'vestige']
37|agathism|['tarantism', 'asterism', 'wegotism', 'barathrum', 'dystheism']
38|agathocacological|['heterological', 'lethologica', 'acyrologia', 'ayauhcozamalotl', 'bathykolpian']
39|agnosy|['telos', 'doxy', 'oofy', 'argot', 'grok']
40|aibohphobia|['phobophobia', 'apophenia', 'hypophora', 'apophasis', 'anhedonia']
41|ailurophile|['pluviophile', 'hierophant', 'epistrophe', 'aizuchi', 'apocryphal']
42|aizuchi|['louche', 'maieutic', 'inure', 'sic', 'tetchy']
43|akimbo|['jingo', 'timon', 'gambol', 'imbue', 'anomie']
44|akrasia|['abulia', 'miasma', 'dysania', 'kalpa', 'kalopsia']
